insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (1, 'Barr', 'Bamlett', 604444142, 'yolasite.com', 'Male', '759-996-6917');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (2, 'Revkah', 'Finney', 277607833, 'indiegogo.com', 'Genderfluid', '167-403-2134');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (3, 'Clemente', 'Jerrom', 832427101, 'linkedin.com', 'Male', '564-991-7456');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (4, 'Raul', 'Johnsey', 778019396, 'cbsnews.com', 'Male', '918-825-5650');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (5, 'Feodor', 'Baudichon', 140770413, 'chronoengine.com', 'Non-binary', '554-641-7263');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (6, 'Riannon', 'Martino', 940367948, 'thetimes.co.uk', 'Female', '644-702-9784');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (7, 'Yvette', 'Fardon', 683045179, 'auda.org.au', 'Female', '526-666-4481');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (8, 'Farlee', 'Hiseman', 473715843, 'cocolog-nifty.com', 'Non-binary', '591-822-5804');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (9, 'Homere', 'Bridel', 126102315, 'booking.com', 'Bigender', '602-639-8433');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (10, 'Harlie', 'Hakonsson', 553696842, 'google.it', 'Female', '286-258-4421');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (11, 'Domeniga', 'Campelli', 267024030, 'upenn.edu', 'Female', '594-999-0048');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (12, 'Dugald', 'Runnicles', 358912690, 'youku.com', 'Male', '435-637-9517');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (13, 'Rosy', 'Watman', 550371414, 'apache.org', 'Female', '626-991-9151');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (14, 'Koral', 'Weeden', 236507993, 'unc.edu', 'Female', '407-127-0429');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (15, 'Roderich', 'O''Lennane', 314731345, 'google.com', 'Male', '947-257-5513');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (16, 'Ade', 'Spours', 247505957, 'nsw.gov.au', 'Male', '722-451-4292');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (17, 'Daffy', 'Batrop', 973565239, 'blog.com', 'Female', '632-544-3923');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (18, 'Kaitlyn', 'Ebbings', 618546122, 'tiny.cc', 'Female', '995-229-0671');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (19, 'Benyamin', 'Bushby', 151156237, 'people.com.cn', 'Male', '739-679-1706');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (20, 'Abey', 'Storrier', 197088083, 'exblog.jp', 'Male', '446-920-9773');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (21, 'Magda', 'Pandie', 808097665, 'theglobeandmail.com', 'Female', '386-430-0627');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (22, 'Derry', 'Luard', 808715525, 'sogou.com', 'Male', '890-832-3068');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (23, 'Allie', 'Escoffrey', 675243346, 'twitter.com', 'Female', '982-257-5360');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (24, 'Grethel', 'Goodbarr', 375339608, 'hugedomains.com', 'Female', '521-305-6319');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (25, 'Harcourt', 'Kolakowski', 369526809, 'ft.com', 'Male', '357-836-6237');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (26, 'Lavina', 'Nashe', 864860998, 'goo.ne.jp', 'Female', '441-240-4547');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (27, 'Avigdor', 'Matthiae', 992830517, 'nydailynews.com', 'Male', '286-945-0299');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (28, 'Jammal', 'Gresley', 227443160, 'printfriendly.com', 'Male', '281-729-9051');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (29, 'Allard', 'Alan', 323459412, 'miitbeian.gov.cn', 'Male', '288-481-8639');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (30, 'Leopold', 'Kordas', 617006821, '4shared.com', 'Male', '693-160-3189');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (31, 'Darrick', 'Gallagher', 353752182, 'deviantart.com', 'Male', '640-585-5561');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (32, 'Rustin', 'Grindle', 699432869, 'sfgate.com', 'Male', '470-291-4038');
