insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (1, 'Odelle', '38 Miller Junction', 'state.tx.us', 1);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (2, 'Wildon', '50296 Vera Junction', 'hugedomains.com', 2);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (3, 'Danyette', '2 Schiller Court', 'usnews.com', 3);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (4, 'Stormy', '189 Miller Court', 'google.fr', 4);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (5, 'Darrick', '461 Rockefeller Hill', 'rakuten.co.jp', 5);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (6, 'Valina', '759 Maple Center', 'unicef.org', 6);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (7, 'Genvieve', '96 Grayhawk Drive', 'jugem.jp', 7);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (8, 'Christye', '8 Straubel Plaza', 'columbia.edu', 8);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (9, 'Shawna', '50 Katie Crossing', 'xinhuanet.com', 9);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (10, 'Griz', '0963 Garrison Pass', 'desdev.cn', 10);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (11, 'Guillemette', '762 Katie Alley', 'about.com', 11);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (12, 'Goldi', '166 Waywood Junction', 'hp.com', 12);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (13, 'Benedict', '98 Delaware Way', 'sciencedaily.com', 13);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (14, 'Albert', '671 Ilene Road', 'netlog.com', 14);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (15, 'Gerti', '811 Menomonie Drive', 'indiegogo.com', 15);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (16, 'Berni', '9768 Eastwood Road', '163.com', 16);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (17, 'Pauletta', '1611 Lotheville Avenue', 'google.fr', 17);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (18, 'Adara', '68488 Haas Pass', 'cocolog-nifty.com', 18);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (19, 'Ker', '4 Prairie Rose Hill', 'blinklist.com', 19);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (20, 'Rosy', '59 Manufacturers Lane', 'columbia.edu', 20);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (21, 'Feliks', '2 Green Ridge Circle', 'exblog.jp', 21);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (22, 'Dita', '4 Hoard Place', 'clickbank.net', 22);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (23, 'Jared', '5221 Sutherland Junction', 'weebly.com', 23);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (24, 'Philippa', '302 Pepper Wood Court', 'cornell.edu', 24);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (25, 'Gasper', '1745 Valley Edge Crossing', 'state.gov', 25);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (26, 'Berta', '5232 Hazelcrest Alley', 'barnesandnoble.com', 26);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (27, 'Berny', '6130 Donald Alley', 'dot.gov', 27);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (28, 'Shurlock', '62712 Elmside Point', 'accuweather.com', 28);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (29, 'Priscella', '09870 Calypso Lane', 'skype.com', 29);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (30, 'Grantley', '67 Arizona Drive', 'de.vu', 30);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (31, 'Harli', '6559 South Point', 'wunderground.com', 31);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (32, 'Kassandra', '24866 Charing Cross Point', 'sciencedirect.com', 32);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (33, 'Reynolds', '84 Declaration Park', 'gizmodo.com', 33);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (34, 'Ambrose', '87 Old Gate Trail', 'amazonaws.com', 34);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (35, 'Myrna', '99 Straubel Center', 'apple.com', 35);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (36, 'Forbes', '9 Homewood Drive', 'w3.org', 36);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (37, 'Vyky', '26 Cottonwood Circle', 'php.net', 37);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (38, 'Tedie', '05642 Corry Parkway', 'who.int', 38);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (39, 'Miguela', '98021 Lukken Way', 'theglobeandmail.com', 39);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (40, 'Thaine', '851 Hazelcrest Parkway', 'springer.com', 40);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (41, 'Elwira', '2426 Lukken Circle', 'prweb.com', 41);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (42, 'Clemmy', '353 Swallow Avenue', 'blinklist.com', 42);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (43, 'Leah', '64021 Calypso Road', 'google.com.hk', 43);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (44, 'Rudolf', '14349 Troy Street', 'behance.net', 44);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (45, 'Shermy', '9640 6th Terrace', '123-reg.co.uk', 45);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (46, 'Kathleen', '1 Blaine Park', 'house.gov', 46);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (47, 'Arabele', '714 Carberry Plaza', 'macromedia.com', 47);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (48, 'Trudi', '784 Superior Junction', 'apache.org', 48);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (49, 'Hadrian', '563 Messerschmidt Terrace', 'sohu.com', 49);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (50, 'Grove', '0 Shelley Crossing', 'moonfruit.com', 50);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (51, 'Morgan', '1926 Harper Lane', 'nifty.com', 51);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (52, 'Carmine', '2678 Loeprich Parkway', 'spotify.com', 52);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (53, 'Elias', '9407 Twin Pines Lane', 'homestead.com', 53);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (54, 'Ninon', '89 Lotheville Road', 'printfriendly.com', 54);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (55, 'Lurette', '67705 Prairieview Terrace', 'marriott.com', 55);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (56, 'Shaylynn', '6 Di Loreto Drive', 'irs.gov', 56);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (57, 'Tadeas', '613 Johnson Parkway', 'home.pl', 57);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (58, 'Ami', '45474 Ridgeview Junction', 'oaic.gov.au', 58);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (59, 'Farand', '1 Bonner Court', 'acquirethisname.com', 59);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (60, 'Holli', '29987 Farragut Street', 'theguardian.com', 60);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (61, 'Forster', '368 Delaware Lane', 'networksolutions.com', 61);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (62, 'Kahlil', '12 Donald Circle', 'ca.gov', 62);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (63, 'Kaela', '2 Stang Plaza', 'weibo.com', 63);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (64, 'Micaela', '28 Vernon Avenue', 'nyu.edu', 64);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (65, 'Anna', '5355 Commercial Terrace', 'joomla.org', 65);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (66, 'Cointon', '8718 Green Ridge Trail', 'yahoo.co.jp', 66);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (67, 'Joycelin', '7462 Service Plaza', 'intel.com', 67);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (68, 'Isaak', '6 Muir Center', 'shinystat.com', 68);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (69, 'Jeno', '607 Mosinee Crossing', 'stanford.edu', 69);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (70, 'Dannie', '81 Heffernan Trail', 'unblog.fr', 70);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (71, 'Meredith', '1 Everett Point', 'usda.gov', 71);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (72, 'Meade', '673 Del Mar Terrace', 'about.com', 72);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (73, 'Brietta', '2 Warbler Hill', 'ehow.com', 73);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (74, 'Anatole', '485 Kipling Plaza', 'cyberchimps.com', 74);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (75, 'Hugibert', '336 Waywood Place', 'bandcamp.com', 75);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (76, 'Dode', '23603 Express Road', 'theatlantic.com', 76);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (77, 'Casey', '8 Corben Point', 'disqus.com', 77);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (78, 'Barry', '120 Roxbury Trail', 't-online.de', 78);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (79, 'Stefa', '5 Loeprich Avenue', 'sina.com.cn', 79);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (80, 'Denice', '963 Pine View Terrace', 'list-manage.com', 80);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (81, 'Crista', '25448 Brown Alley', 'senate.gov', 81);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (82, 'Devland', '25 Hanover Point', 'mozilla.com', 82);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (83, 'Dov', '61 Hoffman Place', 'businessweek.com', 83);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (84, 'Leicester', '60 Amoth Avenue', 'state.tx.us', 84);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (85, 'Kimmy', '9 Kensington Circle', 'bloglines.com', 85);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (86, 'Sebastian', '1 7th Plaza', 'cloudflare.com', 86);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (87, 'Aveline', '36491 Fulton Pass', 'uiuc.edu', 87);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (88, 'Deena', '129 Buell Avenue', 'github.com', 88);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (89, 'Shanta', '1 Logan Parkway', 'sourceforge.net', 89);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (90, 'Lyman', '225 Birchwood Pass', 'chron.com', 90);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (91, 'Dorice', '09 Autumn Leaf Plaza', 'dropbox.com', 91);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (92, 'Lavinia', '2018 Little Fleur Terrace', 'behance.net', 92);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (93, 'Ilise', '7 Crownhardt Center', 'ovh.net', 93);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (94, 'Standford', '5 Oak Valley Plaza', 'stumbleupon.com', 94);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (95, 'Pennie', '3 Redwing Drive', 'guardian.co.uk', 95);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (96, 'Caryl', '86 Warner Court', 'nps.gov', 96);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (97, 'Barbra', '724 Roth Way', 'so-net.ne.jp', 97);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (98, 'Georgetta', '0475 Prentice Circle', 'ebay.co.uk', 98);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (99, 'Svend', '8 Springview Road', 'berkeley.edu', 99);
insert into public.punto_de_venta (codigo_punto_venta, nombre, direcccion, correo, codigo_empleado) values (100, 'Melvyn', '174 Anderson Plaza', 'dedecms.com', 100);
