insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (1, 'Giana', 'Cocksedge', 753771212, 'goo.gl', 'Moto', 'Male');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (2, 'Rosanna', 'Akaster', 238020900, 'msn.com', 'Carro', 'Female');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (3, 'Pearl', 'Mechi', 489899430, 'geocities.jp', 'Moto', '61077-047');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (4, 'Gay', 'Bradford', 429301817, 'usda.gov', 'Camion', '41520-302');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (5, 'June', 'Spaldin', 859121791, 'tumblr.com', 'Moto', '41163-255');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (6, 'Bryana', 'Treadger', 980809598, 'parallels.com', 'Carro', '76237-257');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (7, 'Gustie', 'Mathelin', 668492056, 'earthlink.net', 'Moto', '36987-1660');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (8, 'Zorana', 'Davidove', 727151243, 'a8.net', 'Carro', '0832-0401');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (9, 'Ellis', 'Rosentholer', 521703697, 'tinyurl.com', 'Moto', '42507-553');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (10, 'Livy', 'Clutterbuck', 231967740, 'usa.gov', 'Avioneta', '47682-016');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (11, 'Artemis', 'Pesak', 331245850, 'msn.com', 'Carro', '55289-248');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (12, 'Rhea', 'Doblin', 202844420, 'indiegogo.com', 'Carro', '49035-212');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (13, 'Christina', 'Stoodale', 148674279, 'cbc.ca', 'Moto', '60760-447');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (14, 'Ilysa', 'Sickamore', 428402044, 'dyndns.org', 'Avioneta', '49035-384');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (15, 'Lou', 'Greim', 230472718, 'vinaora.com', 'Camion', '0093-1006');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (16, 'Gorden', 'Mead', 962842583, 'latimes.com', 'Avioneta', '60429-786');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (17, 'Tisha', 'Mosby', 182460674, 'zimbio.com', 'Avioneta', '59427-761');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (18, 'Jerrie', 'Kohlerman', 609591749, 'cyberchimps.com', 'Moto', '64720-145');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (19, 'Madeline', 'Greason', 392955319, 'utexas.edu', 'Camion', '49349-242');
insert into public.empleado (codigo_empleado, nombre, apellido, identificacion, correo, codigo, telefono,sexo) values (20, 'Marcellus', 'Ribbon', 713702598, 'unc.edu', 'Carro', '49349-647');
