insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (1, 'Cinda', '11/2/2021', 779, 'Toledo', '41 Veith Lane', 7);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (2, 'Maximilien', '12/28/2021', 1043, 'Ayo', '9692 Mendota Center', 89);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (3, 'Ives', '3/14/2022', 1091, 'Bellevue', '0 Dovetail Center', 23);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (4, 'Wainwright', '7/9/2022', 1059, 'Xinzha', '2248 David Lane', 7);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (5, 'Melisse', '12/13/2021', 747, 'Novotitarovskaya', '529 Barby Circle', 77);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (6, 'Gary', '9/11/2021', 963, 'Solomenskoye', '480 Clove Street', 31);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (7, 'Jsandye', '9/14/2021', 776, 'Dolní Černilov', '5 Waubesa Park', 24);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (8, 'Magdalena', '10/7/2021', 809, 'Hazlov', '97 Mesta Hill', 7);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (9, 'Andrei', '6/25/2022', 1164, 'Cortinhas', '727 High Crossing Parkway', 15);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (10, 'Karlyn', '5/9/2022', 703, 'Brgy. Nalook, kalibo', '295 Crossing', 50);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (11, 'Collin', '4/1/2022', 947, 'Vale Flores', '88814 Springview Junction', 3);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (12, 'Grace', '1/10/2022', 853, 'Yanglinwei', '3703 Kim Parkway', 36);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (13, 'My', '9/16/2021', 635, 'Itaí', '0 Schmedeman Point', 35);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (14, 'Craggie', '6/22/2022', 619, 'Spassk-Dal’niy', '47 Blue Junction', 97);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (15, 'Patten', '11/19/2021', 614, 'Xinó Neró', '6681 Hermina Road', 37);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (16, 'Dorise', '2/4/2022', 832, 'Basel', '9148 Parkside Court', 27);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (17, 'Greer', '2/19/2022', 1110, 'Xiaosong', '56 Swallow Way', 22);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (18, 'Stern', '10/4/2021', 625, 'Greensboro', '8097 Susan Point', 2);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (19, 'Leigha', '2/2/2022', 1137, 'Aegela', '4498 Buell Avenue', 31);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (20, 'Lewes', '8/27/2021', 1151, 'Tongle', '9 Glendale Circle', 76);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (21, 'Nan', '4/4/2022', 1021, 'Wenxing', '73 International Court', 77);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (22, 'Egan', '4/25/2022', 964, 'Santa Monica', '24 Londonderry Avenue', 52);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (23, 'Nataniel', '9/26/2021', 625, 'Montbéliard', '7474 Magdeline Drive', 87);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (24, 'Mario', '1/21/2022', 915, 'Panadura', '989 Colorado Alley', 63);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (25, 'Eadmund', '12/11/2021', 1128, 'Annau', '6 Clove Center', 10);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (26, 'Tucky', '3/25/2022', 782, 'Bolou', '3 Eastwood Hill', 89);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (27, 'Beilul', '9/11/2021', 737, 'Tong’an', '7 Huxley Place', 71);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (28, 'Emlen', '12/3/2021', 649, 'Kokar', '4 Express Plaza', 66);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (29, 'Chrotoem', '2/19/2022', 1097, 'Yatunpu', '67 Lillian Way', 35);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (30, 'Amalita', '2/15/2022', 729, 'Raga', '2 5th Lane', 58);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (31, 'Waylon', '9/18/2021', 884, 'Bahuang', '323 Farragut Plaza', 63);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (32, 'Rancell', '5/26/2022', 823, 'Ipiaú', '1 Granby Center', 56);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (33, 'Kippie', '7/1/2022', 863, 'Drammen', '81099 Mitchell Alley', 80);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (34, 'Ewell', '7/26/2021', 1010, 'Zwolle', '00481 Esch Park', 84);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (35, 'Brander', '8/13/2021', 747, 'Levandeira', '4 Nevada Place', 11);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (36, 'William', '12/31/2021', 1108, 'Shaami-Yurt', '3 Arizona Drive', 74);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (37, 'Clifford', '2/24/2022', 857, 'Montería', '257 Vermont Circle', 3);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (38, 'Violante', '6/6/2022', 1003, 'Alcanhões', '7401 Declaration Point', 61);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (39, 'Sibyl', '1/13/2022', 1173, 'Lyon', '7 Shasta Place', 60);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (40, 'Harland', '5/1/2022', 1026, 'Shāzand', '095 Gina Avenue', 94);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (41, 'Carole', '12/13/2021', 943, 'Kampungdesa', '8 Sycamore Park', 46);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (42, 'Parry', '7/30/2021', 998, 'Kuching', '117 Forster Street', 20);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (43, 'Augie', '6/26/2022', 898, 'Taoyang', '37785 Badeau Center', 75);
insert into public.pedidos (codigo_pedido, nombre, fecha, hora, destino, direccion, valor) values (44, 'Latisha', '7/13/2021', 912, 'Shuanghe', '77 Porter Circle', 90);
